location,sentiment,overall_sentiment_score
Bah,Positive,0.6369
Bahadurgarh,Negative,-0.13569259259259261
Baharagora,Neutral,0.0
Bahirgram,Positive,0.49269999999999997
Bahraich,Negative,0.027359999999999968
Bahraich District,Positive,0.6369
Baidyabati,Negative,-0.49398
Bakewar,Positive,0.8779
Bakhtiarpur,Positive,0.8258
Baksa District,Positive,0.4874555555555556
Bakshi Ka Talab,Positive,0.4215
Balaghat,Neutral,0.31445
Balangir,Negative,-0.232
Balangir District,Positive,0.69165
Balapallam,Neutral,0.0
Balapur,Positive,0.5523250000000001
Balarampota,Positive,0.4215
Balasore,Positive,0.4404
Baldeogarh,Negative,-0.7998
Baleshwar,Negative,0.12082500000000002
Baleshwar District,Neutral,0.2496107142857143
Balichak,Negative,-0.5423
Ballari,Positive,0.40080000000000005
Ballarpur,Neutral,0.0
Ballia,Negative,-0.1765175
Ballia District,Neutral,0.2644568181818182
Bally,Neutral,0.27389
Balod,Positive,0.6858
Balotra,Neutral,0.24634999999999999
Balrampur District,Positive,0.7962
Balugaon,Negative,-0.025349999999999984
Baluhati,Neutral,0.0
Balurghat,Negative,-0.13299999999999998
Bamangram,Positive,0.4927
Bamanpukur,Neutral,0.21075
Bambolim,Positive,0.4927
Bamhani,Positive,0.4404
Banapur,Positive,0.44040000000000007
Banarhat Tea Garden,Negative,-0.1706
Banas Kantha District,Positive,0.4404
Banaskantha,Positive,0.44040000000000007
Banda,Positive,0.57405
Bandhail,Negative,-0.5423
Bangalore,Negative,-0.03840446428571431
Bangalore Division,Negative,0.047629629629629654
Bangalore Urban,Negative,-0.03110833333333335
Bangaon,Positive,0.44040000000000007
Banka,Positive,0.6369
Banka District,Negative,0.02953750000000005
Bankra,Positive,0.3797875
Bankura,Negative,0.006351923076923088
Bankura District,Negative,-0.06944722222222222
Banmankhi Bazar,Positive,0.4927
Bansberia,Negative,-0.06509999999999999
Bansda,Positive,0.4404
Bansi,Positive,0.4404
Banumukkala,Negative,-0.6249
Bapatla,Positive,0.4215
Bara,Negative,-0.5849
Bara Banki District,Positive,0.66285
Bara Jumla,Negative,0.04960000000000003
Barabanki,Negative,-0.0864857142857143
Barabazar,Positive,0.4404
Baramati,Positive,0.5343
Baramulla,Negative,-0.3412
Baran,Positive,0.592375
Barasat,Negative,-0.03205925925925923
Barauli,Positive,0.45072
Barauni,Negative,-0.004640000000000033
Baraut,Negative,0.0013999999999999846
Barbil,Negative,0.10830999999999999
Bardhaman,Positive,0.5244899999999999
Bareilly,Negative,0.05549499999999998
Bareja,Negative,-0.5256
Barelliy,Neutral,0.0
Bargarh District,Positive,0.5535
Bargur,Positive,0.4043
